name,email,date_of_birth,address,phone_number,grade,student_id,major,minor,enrollment_year,graduation_year,gender,gpa,ethnicity,marital_status,courses,student_type,scholarship,sports_teams,internship_status,social_security_number,birth_place,nationality,parents,emergency_contact,language_proficiency,previous_schools,has_student_loan
Gabrielle Davis,derek96@example.com,2007-01-08,"085 Jorge Loop
West Markberg, MS 77424",672.426.8610x9778,D,c6eeb6b3-69b0-4bf2-af61-da34208524f4,Engineering,Sociology,1990,2001,Non-binary,4.7,Hispanic,Divorced,"['reinvent cross-media channels', 'iterate visionary systems', 'enhance seamless ROI']",Full-time,No,Soccer,None,807-24-4724,South Tina,British,"{'father_name': 'Gary Dudley', 'mother_name': 'Jessica Cook', 'contact_number': '001-799-599-7192x02061'}","{'name': 'James Stewart', 'relationship': 'Friend', 'phone_number': '(952)236-6098'}",English,"['Wilson-Miller', 'Snyder-Henderson']",Yes
Kayla Dudley,sjones@example.com,2004-07-10,"Unit 6552 Box 2803
DPO AA 43522",6504552159,C,d091ffcb-f15d-40ce-be55-26c003e9d6b9,Chemistry,Psychology,1975,1974,Female,7.2,Mixed,Divorced,"['visualize granular bandwidth', 'seize world-class content', 'transition 24/7 markets']",Part-time,Yes,Basketball,None,302-51-3764,North Nicholas,German,"{'father_name': 'Justin Fisher', 'mother_name': 'Benjamin Taylor', 'contact_number': '879.290.3340'}","{'name': 'Tiffany Perez', 'relationship': 'Friend', 'phone_number': '(923)769-6356x8738'}",English,"['Love-Palmer', 'Bush-King']",Yes
Pamela Dixon,randy28@example.net,2004-10-23,"1209 Miller Lake
Nguyenton, NY 27680",369-944-0823x2340,D,16339ecb-ce1e-4e6c-8c25-c47d43a58514,History,Economics,2000,1970,Male,10.6,Caucasian,Married,"['deliver value-added initiatives', 'leverage collaborative users', 'visualize e-business portals']",Part-time,No,Soccer,Currently Internship,021-46-3767,Kentbury,Australian,"{'father_name': 'Shelby Manning', 'mother_name': 'Sean Kelly', 'contact_number': '+1-295-258-1278'}","{'name': 'Alicia Williams', 'relationship': 'Friend', 'phone_number': '+1-588-513-2272'}",English,"['Davis, Pierce and Dyer', 'Oneill, Beck and Davis']",No
Denise Miller,christopherharrison@example.org,2005-12-25,"3412 Jackson Parkway Suite 679
Websterchester, MD 97114",+1-945-238-6673x082,B,eea26ed7-5c2b-4d0f-906b-0bfaca499db8,Biology,Economics,2016,1989,Male,4.1,Hispanic,Married,"['harness extensible portals', 'matrix scalable vortals', 'exploit 24/7 experiences']",Part-time,Yes,Football,Currently Internship,354-88-0561,Susanchester,Australian,"{'father_name': 'Michael Green', 'mother_name': 'Brian Dickson', 'contact_number': '966.742.2337'}","{'name': 'Caleb Daugherty', 'relationship': 'Parent', 'phone_number': '+1-440-547-0631x0708'}",Other,"['Sawyer-Parker', 'Thompson, Sanford and Thomas']",No
Bonnie Weaver,joseph90@example.net,2003-08-24,"0880 Bruce Mall
Johnshire, NE 62179",001-893-848-4408,B,12e5813b-ef8d-4dd7-8f5c-1c6363c4b0ef,Physics,Psychology,2003,1993,Female,9.8,Hispanic,Married,"['disintermediate back-end platforms', 'integrate front-end ROI', 'utilize compelling infrastructures']",Full-time,Yes,Football,Currently Internship,840-97-3170,Lake Jenniferside,German,"{'father_name': 'Brian Cook', 'mother_name': 'Dr. Beth Torres', 'contact_number': '(816)449-6704x22822'}","{'name': 'Nicholas Peters', 'relationship': 'Friend', 'phone_number': '001-763-363-5643x2456'}",German,"['Alvarez, Bolton and Miles', 'Jordan Ltd']",No
Christopher Wood,davidjohnson@example.net,2006-02-24,"4728 Sheppard Lake Suite 819
East Frank, WA 10374",229.275.9807x56622,F,f4f32e4b-0d5f-4dfb-82a4-fb28d4f8447d,Physics,Sociology,2015,1980,Non-binary,11.8,Hispanic,Divorced,"['benchmark next-generation channels', 'engage wireless niches', 'syndicate intuitive bandwidth']",Full-time,Yes,None,Completed Internship,005-89-6842,Theresahaven,American,"{'father_name': 'Anita Ayala', 'mother_name': 'Matthew Blevins', 'contact_number': '(595)647-8425x1100'}","{'name': 'Jillian Moreno', 'relationship': 'Parent', 'phone_number': '+1-667-856-3795x443'}",French,"['Brown, Hebert and Hernandez', 'Gardner, Weaver and Chapman']",No
Terry Wilson,mmorris@example.net,2004-06-15,"PSC 7060, Box 4745
APO AP 68326",+1-588-718-7597x368,C,e9e1c916-9653-4f8e-93b3-14127d37c00a,Biology,Economics,2002,1972,Non-binary,8.8,Caucasian,Single,"['utilize integrated relationships', 'synthesize bleeding-edge info-mediaries', 'brand best-of-breed bandwidth']",Part-time,No,Soccer,Completed Internship,880-78-1126,West Cindyview,British,"{'father_name': 'Karen Noble', 'mother_name': 'Randy Mills', 'contact_number': '+1-751-531-2333x87865'}","{'name': 'Douglas Garcia', 'relationship': 'Parent', 'phone_number': '+1-724-941-6520x7952'}",Other,"['Carlson Ltd', 'Sosa, Martin and Estrada']",Yes
Carlos Howard,omorris@example.org,2006-09-03,"8015 Anderson Unions Suite 760
Port Margaretfurt, FL 94177",521.587.6666x678,F,701da31b-3f7c-439b-9754-1e7a8e8d3133,History,Psychology,1996,2019,Non-binary,6.4,Other,Married,"['whiteboard clicks-and-mortar paradigms', 'incentivize intuitive ROI', 'drive open-source methodologies']",Full-time,Yes,Football,None,082-43-5985,Blakeland,American,"{'father_name': 'Emily Harmon', 'mother_name': 'Justin Montgomery', 'contact_number': '(357)439-9148x57471'}","{'name': 'Adam Barber', 'relationship': 'Other', 'phone_number': '+1-204-733-6758x86031'}",French,"['White-Peterson', 'Matthews, Cohen and Lawson']",No
Crystal Allen,mortonmichael@example.com,2003-08-13,"720 Katherine Pike
Austinchester, IA 09685",(587)813-5447x19365,C,8d4bf0aa-ec19-4e89-b333-01e6e95e0a79,Engineering,Psychology,2000,2016,Male,5.3,Hispanic,Single,"['e-enable interactive e-services', 'transition enterprise experiences', 'reinvent bricks-and-clicks platforms']",Full-time,No,Soccer,Currently Internship,321-83-5110,Travisbury,German,"{'father_name': 'Linda Yates', 'mother_name': 'Caleb Moore', 'contact_number': '922-866-7489'}","{'name': 'Alyssa Wallace', 'relationship': 'Friend', 'phone_number': '+1-667-549-5004x16033'}",French,"['Ross Group', 'Cruz, Barnes and Holt']",No
Sandy Manning,hbernard@example.net,2006-10-05,"184 Tiffany Lake
East Jose, PW 32380",+1-703-774-5654x6050,F,b9fe1d38-54a7-4698-8030-723d54a04698,Engineering,Economics,1995,1991,Female,5.3,African American,Single,"['integrate world-class relationships', 'innovate visionary web-readiness', 'utilize compelling interfaces']",Full-time,Yes,Football,Completed Internship,490-56-0224,Davidfort,Canadian,"{'father_name': 'Brent Rodgers', 'mother_name': 'Terry Hernandez', 'contact_number': '630-478-2005x39839'}","{'name': 'Nicholas Carroll', 'relationship': 'Parent', 'phone_number': '(205)741-7358'}",German,"['Davis, Rose and Stevenson', 'Wolf LLC']",No
Christian Nelson,jacquelinecisneros@example.org,2006-08-13,"0265 Mcgee Path
Bellville, WA 59096",001-434-903-1779x468,A,088ccaf2-0245-4743-a98f-eb02b875eb89,Biology,Music,1974,2024,Female,7.6,Hispanic,Single,"['target innovative experiences', 'streamline wireless infrastructures', 'incentivize cross-platform mindshare']",Full-time,Yes,Basketball,Currently Internship,749-77-6365,South Samanthastad,American,"{'father_name': 'Mary Combs', 'mother_name': 'James Collins', 'contact_number': '2838518643'}","{'name': 'Diane Rojas DDS', 'relationship': 'Parent', 'phone_number': '662-605-7395x489'}",Spanish,"['Ortiz and Sons', 'Miles, Evans and Butler']",No
Charles Duffy,rachelenglish@example.org,2006-05-08,"PSC 9858, Box 7746
APO AP 67574",001-592-306-0293,D,a745f193-2886-4ddc-be80-c5b876bf4917,Chemistry,Sociology,1994,1997,Non-binary,11.9,Hispanic,Single,"['iterate mission-critical synergies', 'morph out-of-the-box methodologies', 'evolve B2C applications']",Part-time,Yes,Football,Currently Internship,804-32-0664,New Donald,Canadian,"{'father_name': 'Cathy Smith', 'mother_name': 'Mary Anderson', 'contact_number': '(956)559-5533x486'}","{'name': 'Whitney Johnson', 'relationship': 'Sibling', 'phone_number': '440.679.6510x788'}",Other,"['Ortiz Ltd', 'Erickson, Wood and Ramirez']",Yes
Amanda Webster,obrienlisa@example.org,2003-11-02,"3833 Johns Station Suite 315
Tinafort, NM 56525",001-546-489-1755x0976,D,53088b2c-2c75-4559-9862-64a8739417c0,History,Philosophy,1983,1974,Male,8.2,Mixed,Married,"['reinvent transparent solutions', 'cultivate sticky niches', 'repurpose world-class web-readiness']",Full-time,No,Football,Currently Internship,581-82-2335,Jessicashire,German,"{'father_name': 'Justin Davis DVM', 'mother_name': 'Angela Clark', 'contact_number': '753.817.0359x833'}","{'name': 'Rebecca Guerra', 'relationship': 'Friend', 'phone_number': '307.608.8069'}",French,"['Brown-Smith', 'Durham-Adams']",Yes
Timothy Lopez,mcconnellbrenda@example.com,2006-04-19,"298 Brandon Mountain Suite 750
South Sarahfort, TN 32217",+1-456-250-7539x3413,D,3fb42ba6-3a77-4584-a0de-4c87a22a5c5d,Mathematics,Psychology,1983,2015,Non-binary,11.2,Other,Married,"['strategize best-of-breed bandwidth', 'brand synergistic networks', 'implement clicks-and-mortar mindshare']",Part-time,No,Football,Completed Internship,372-50-3800,Ronaldburgh,American,"{'father_name': 'Christopher Armstrong', 'mother_name': 'Angela Munoz', 'contact_number': '(759)201-3468'}","{'name': 'Mallory Nelson', 'relationship': 'Friend', 'phone_number': '2834091304'}",Other,"['Miller Ltd', 'Bell, George and Webb']",No
Jill Lambert,ssilva@example.net,2005-01-13,"8077 Wilson Forest
New Danny, CT 65986",489.737.0178,D,3ad9f80b-244e-4a3a-861a-1a5e3c4bfe41,Biology,Art History,1986,2023,Female,5.0,Caucasian,Divorced,"['enhance granular action-items', 'revolutionize strategic deliverables', 'deploy synergistic methodologies']",Full-time,No,Soccer,Completed Internship,054-23-9317,New Kristenchester,Canadian,"{'father_name': 'Matthew Gonzales', 'mother_name': 'Robin Turner', 'contact_number': '617-651-3243'}","{'name': 'Amy Hall', 'relationship': 'Parent', 'phone_number': '478-820-6738x00839'}",French,"['Miller, Collins and Carrillo', 'Fernandez Ltd']",Yes
Charles Allen,sarah69@example.net,2006-10-12,"62382 Harold Islands
West Robertfort, MO 37336",440.635.8694x4500,D,839b650b-b6de-452e-854a-54eae71bc67c,Biology,Economics,1987,2000,Female,7.4,Asian,Married,"['scale B2C experiences', 'mesh cross-platform bandwidth', 'morph magnetic architectures']",Part-time,No,Basketball,None,630-17-2224,Lake Barbaraport,Australian,"{'father_name': 'John Kidd', 'mother_name': 'Anthony Cox', 'contact_number': '418-279-9134x1412'}","{'name': 'David James', 'relationship': 'Friend', 'phone_number': '4204018812'}",Mandarin,"['Carter, Flores and Johnson', 'Carroll, Paul and Johnson']",Yes
Beverly Hatfield,tamaraaguilar@example.net,2002-07-21,"2893 Anna Mill
Port Franciscoton, OK 44279",969.818.4714x41244,B,3bcb5120-2a0f-492d-9b2b-90afa28b5cad,Engineering,Sociology,1989,1991,Male,9.2,Asian,Single,"['exploit impactful architectures', 'exploit web-enabled systems', 'benchmark proactive metrics']",Part-time,Yes,Football,None,251-30-3443,South Jason,American,"{'father_name': 'Paula Sanchez', 'mother_name': 'Alicia Alexander', 'contact_number': '453-525-4625'}","{'name': 'Dustin Wood', 'relationship': 'Sibling', 'phone_number': '001-261-685-1262x717'}",Mandarin,"['Hill, Jones and Jimenez', 'Harper, Waters and Cohen']",Yes
Misty Newman,hknight@example.net,2003-01-25,"6429 Johnny Stravenue Suite 976
New Heatherhaven, VA 98315",603-851-7148,B,6cd316a9-9a4e-4f98-aa1b-fbae21c70c37,Engineering,Economics,2000,1980,Male,7.8,Asian,Single,"['extend impactful metrics', 'transform scalable e-business', 'envisioneer enterprise initiatives']",Part-time,No,Football,None,758-34-4444,Brianfurt,British,"{'father_name': 'Joshua Richards', 'mother_name': 'Christopher Martin', 'contact_number': '626-912-0354'}","{'name': 'Nancy Evans DDS', 'relationship': 'Friend', 'phone_number': '+1-908-758-7464x157'}",Mandarin,"['Wilson Inc', 'Kirk-Mason']",Yes
Sandra Espinoza,lynn65@example.com,2006-09-16,"92498 Berry Mews
East Tyler, OR 54550",001-355-899-0572x68414,F,decef606-b971-453f-84df-e79aab8d2820,History,Art History,2007,1973,Non-binary,8.9,Mixed,Divorced,"['benchmark enterprise mindshare', 'morph e-business partnerships', 'streamline enterprise applications']",Full-time,Yes,None,Currently Internship,044-84-4052,Port Christopherfurt,Australian,"{'father_name': 'Gina Farley', 'mother_name': 'Daisy Mckenzie', 'contact_number': '966-202-2666'}","{'name': 'Dale Hopkins', 'relationship': 'Friend', 'phone_number': '+1-741-549-3753'}",English,"['Roman Group', 'Moore-Thompson']",No
Dominique Collins,alejandrohanson@example.net,2002-12-13,"512 Ford Terrace
Kellyport, IA 02048",001-432-366-3657,D,efc80659-8e36-4c86-a13f-d7f31689e87b,Computer Science,Economics,1980,2017,Non-binary,6.4,Other,Single,"['target synergistic eyeballs', 'revolutionize impactful web services', 'utilize viral ROI']",Part-time,Yes,Soccer,None,746-34-4213,North Juanfort,British,"{'father_name': 'Melissa Marks', 'mother_name': 'Thomas Nelson', 'contact_number': '(316)991-1489x9374'}","{'name': 'Richard Sanchez', 'relationship': 'Other', 'phone_number': '+1-309-580-6069x9331'}",German,"['Rodriguez, Berry and Harris', 'Morgan Group']",Yes
James Gonzalez,johnsonwillie@example.org,2005-12-16,"37789 Leslie Port
Shellyshire, WV 33126",965-563-5397x904,F,92a8244a-484a-464c-a333-90d35e9d7c11,Biology,Psychology,1999,1976,Male,2.8,Caucasian,Married,"['whiteboard turn-key communities', 'maximize turn-key metrics', 'orchestrate 24/365 e-tailers']",Part-time,No,Soccer,None,543-13-7179,North Cherylville,Canadian,"{'father_name': 'Roberto Shepherd', 'mother_name': 'Sierra Jones DVM', 'contact_number': '594.242.6590x96779'}","{'name': 'Christopher Myers III', 'relationship': 'Sibling', 'phone_number': '+1-558-447-2142x56685'}",German,"['Weber Ltd', 'Barnett PLC']",Yes
Felicia Dunn,victorrichards@example.net,2003-07-31,"299 David Port Suite 125
Bensonport, LA 51447",(628)316-0696x9782,B,a48cf8fa-5106-4f9c-9e23-244d64887e99,Chemistry,Psychology,1970,1974,Female,5.9,African American,Married,"['incubate plug-and-play schemas', 'leverage robust infrastructures', 'reinvent turn-key functionalities']",Part-time,Yes,None,Completed Internship,426-71-6409,Dominiqueport,Australian,"{'father_name': 'Lance Hamilton', 'mother_name': 'Richard Thompson', 'contact_number': '417-244-7519'}","{'name': 'Elizabeth Richardson', 'relationship': 'Sibling', 'phone_number': '574-952-8855'}",Mandarin,"['Ingram Group', 'Christensen-Berg']",Yes
Eileen Edwards,ryan20@example.com,2006-03-22,"7331 Brett Station
North Christopher, IN 35515",+1-272-637-9737,A,403eaaa2-d94e-4a73-9bd0-1f2607ba8b1d,Physics,Music,2009,2018,Male,9.4,Caucasian,Married,"['iterate interactive web-readiness', 'strategize world-class partnerships', 'deploy transparent mindshare']",Part-time,No,Soccer,None,479-34-3529,Gambleton,Australian,"{'father_name': 'Amanda Wilson', 'mother_name': 'Evelyn Cisneros', 'contact_number': '001-911-459-2859x8685'}","{'name': 'Robert Galvan', 'relationship': 'Sibling', 'phone_number': '001-901-603-4773x0688'}",Other,"['Fleming Group', 'Dodson, Austin and Mcguire']",No
Lisa Weber,lnorris@example.org,2005-08-26,"07309 Rhodes Spring Apt. 587
Vegaville, AZ 85315",540.974.1651x5628,C,96f56777-1df1-412c-aaee-67c76ec52925,Physics,Sociology,2011,2021,Male,6.6,Caucasian,Divorced,"['seize web-enabled web-readiness', 'deliver scalable niches', 'engineer customized interfaces']",Part-time,No,Football,Completed Internship,743-19-2948,New John,British,"{'father_name': 'Andrew Hayes', 'mother_name': 'Danielle Mills', 'contact_number': '001-719-493-9078x999'}","{'name': 'Aaron Thornton', 'relationship': 'Other', 'phone_number': '(953)727-6397x2516'}",Mandarin,"['Nash and Sons', 'Nunez-Alvarez']",No
James Craig MD,olsontodd@example.org,2003-09-14,"316 Miranda Bridge Suite 892
Morganfort, MN 50396",349-228-6258,C,22d872ab-bca2-4159-9f60-4c1cb604882c,Computer Science,Psychology,1978,1975,Female,3.2,African American,Single,"['deliver seamless convergence', 're-contextualize revolutionary e-commerce', 'orchestrate strategic functionalities']",Full-time,Yes,Soccer,Completed Internship,891-19-6876,Lake Gloria,British,"{'father_name': 'Stephanie Black', 'mother_name': 'Dawn Meza', 'contact_number': '652-448-2320'}","{'name': 'Kim Lawrence', 'relationship': 'Other', 'phone_number': '001-518-260-2443'}",Other,"['Martinez Inc', 'Berry, Cross and Fox']",Yes
Susan Forbes,okim@example.net,2003-02-03,"687 Jamie River
East Amanda, VT 50271",792.411.7107,B,f7fbfb84-b579-47b4-8333-993a6bf7cbd6,History,Economics,2021,2018,Non-binary,8.0,Other,Married,"['embrace holistic functionalities', 're-contextualize cross-platform relationships', 'e-enable magnetic web services']",Part-time,No,None,Currently Internship,233-85-9259,North Thomasbury,German,"{'father_name': 'Mark Reed', 'mother_name': 'Carlos Evans', 'contact_number': '(417)298-2377'}","{'name': 'John Brennan', 'relationship': 'Sibling', 'phone_number': '001-554-514-0005x5549'}",Other,"['Friedman-Petersen', 'Miller-Smith']",Yes
David Williamson,john05@example.net,2002-03-27,"3029 Owens Streets
Patrickborough, WA 36263",8473696062,C,d77d24b3-7e96-45c5-8304-88aa1ec67eee,Computer Science,Economics,1996,1982,Female,6.6,African American,Married,"['architect virtual schemas', 'cultivate user-centric content', 'architect turn-key schemas']",Part-time,Yes,Football,Currently Internship,458-23-6847,North Jennifer,German,"{'father_name': 'Jocelyn Hernandez', 'mother_name': 'Jose Bishop', 'contact_number': '(916)271-0168x4999'}","{'name': 'Stephanie Mahoney', 'relationship': 'Sibling', 'phone_number': '+1-303-547-7552x21962'}",German,"['Gonzalez, Russell and Lozano', 'Hanson Group']",Yes
Stefanie Ferguson,pnorman@example.net,2003-10-05,"60483 Justin Plaza
Port Dean, VT 19983",001-433-890-3757x650,D,55b0737b-0fae-4ddb-bb9b-d3bc3c399b6d,History,Sociology,2017,1983,Female,7.4,Mixed,Married,"['e-enable magnetic applications', 'benchmark viral relationships', 'incentivize dot-com schemas']",Full-time,No,Basketball,Completed Internship,048-37-7837,Anthonytown,British,"{'father_name': 'Richard Carson', 'mother_name': 'Miranda Hernandez', 'contact_number': '375-344-1874x202'}","{'name': 'Mark Powers', 'relationship': 'Friend', 'phone_number': '001-510-924-4755x527'}",English,"['Stanton-Cline', 'Landry-Hernandez']",No
Joanna Patel,jameshoffman@example.com,2004-05-27,"9906 Wolf Station
West Kathy, IA 11539",9886056463,D,5b19be55-a81f-411c-a10c-dad66eccb939,Biology,Art History,1975,2003,Male,8.1,Hispanic,Single,"['innovate collaborative ROI', 'harness value-added communities', 'envisioneer best-of-breed paradigms']",Full-time,No,None,Currently Internship,371-28-1114,Port Davidmouth,German,"{'father_name': 'Jesse Robinson DDS', 'mother_name': 'Pamela Hess', 'contact_number': '(696)643-0512x86773'}","{'name': 'Jenny Morales', 'relationship': 'Friend', 'phone_number': '(382)633-5901x2142'}",Spanish,"['Shah-Cantrell', 'Vaughn Group']",No
Joseph Morrison,sharpscott@example.org,2005-02-08,"31502 Harold Mews Apt. 841
Julieland, IN 75555",+1-509-352-3927,B,91a15364-1e5d-4576-93e2-fd9c4d53475d,Engineering,Economics,2010,1997,Female,4.0,Caucasian,Divorced,"['architect world-class architectures', 'transition web-enabled functionalities', 'transform plug-and-play supply-chains']",Full-time,Yes,Football,None,893-47-1314,Nelsonbury,German,"{'father_name': 'Carla Burke', 'mother_name': 'Daniel Gonzalez', 'contact_number': '882.716.3382x732'}","{'name': 'Collin Vargas', 'relationship': 'Parent', 'phone_number': '461.396.5266x42279'}",Other,"['Jackson-Dunlap', 'Calhoun Ltd']",Yes
Cynthia Alvarez,ngriffith@example.com,2004-09-20,"4533 Taylor Ways
Tammymouth, UT 38839",+1-718-320-5003x7093,A,da60c742-b6a5-4b9e-b493-d91af8e809b5,History,Psychology,1978,1983,Male,8.5,Other,Divorced,"['seize web-enabled users', 'harness B2B networks', 'benchmark magnetic platforms']",Part-time,No,Soccer,Completed Internship,043-64-4213,South Caroline,German,"{'father_name': 'Sarah Aguilar', 'mother_name': 'Tina Lawson', 'contact_number': '001-578-726-9025x5046'}","{'name': 'Brandon Gutierrez PhD', 'relationship': 'Other', 'phone_number': '001-562-784-3435x493'}",French,"['Jones, Webb and Ryan', 'Smith-Medina']",Yes
Paul Parker,lisa31@example.net,2006-10-16,"26792 Vance Crossroad
Lake Elizabethstad, ME 13329",929.357.8578x37461,D,8edeeef5-cf2d-481d-9e55-216a3a23ba9b,Mathematics,Psychology,1983,1987,Male,9.5,Caucasian,Divorced,"['implement open-source functionalities', 'transform integrated e-services', 'engineer clicks-and-mortar schemas']",Full-time,No,Football,Currently Internship,144-20-3468,Patrickmouth,Canadian,"{'father_name': 'Amy Obrien', 'mother_name': 'Charles Morris', 'contact_number': '(536)886-1607x97466'}","{'name': 'Heather Roy', 'relationship': 'Sibling', 'phone_number': '594.684.3501x6395'}",German,"['Travis, Potter and Graham', 'Stone Group']",Yes
Diana Horne,xmullins@example.net,2005-04-14,"238 Roy Lock
Sandramouth, DC 64855",355-738-2665x01364,D,0c99d973-b40a-437b-934f-ff7556b29f7d,Mathematics,Economics,1991,1988,Male,8.6,Asian,Married,"['revolutionize rich paradigms', 'monetize scalable vortals', 'productize bleeding-edge convergence']",Part-time,Yes,Soccer,None,048-30-6596,East Jillshire,German,"{'father_name': 'Carrie Winters', 'mother_name': 'Christina Smith', 'contact_number': '(828)548-0375x13947'}","{'name': 'Victoria Hodges', 'relationship': 'Parent', 'phone_number': '(725)235-8737'}",French,"['Lester-Perkins', 'Graham and Sons']",Yes
Nancy Johnson,thorntonmatthew@example.org,2005-12-19,"59065 Timothy Pass
Amandatown, WV 62428",524.528.6764,F,f13490c8-045f-4f5a-914c-fa9dc7caafa2,Physics,Art History,2019,1973,Non-binary,11.2,Caucasian,Married,"['engineer out-of-the-box experiences', 'evolve sticky action-items', 'strategize bleeding-edge technologies']",Full-time,Yes,None,Currently Internship,244-57-7409,Deleonborough,Canadian,"{'father_name': 'Ashley Hayden', 'mother_name': 'Michele Blackburn', 'contact_number': '706-332-6897'}","{'name': 'Jonathan Bradley', 'relationship': 'Friend', 'phone_number': '(268)397-5119'}",Mandarin,"['Barrera-Ramos', 'Powell, Robbins and Ponce']",Yes
Austin Hernandez,imurphy@example.org,2002-10-16,"6431 Kevin Bridge
East Gerald, MT 99563",001-540-945-6403x7729,C,4c06fc24-243e-458d-99ab-8ab70e23038a,History,Art History,1972,2012,Male,8.1,African American,Single,"['implement 24/7 bandwidth', 'grow enterprise architectures', 'scale bricks-and-clicks convergence']",Full-time,Yes,None,Currently Internship,290-93-1484,Colleenmouth,Australian,"{'father_name': 'Linda Thomas DDS', 'mother_name': 'Jacqueline Mendoza', 'contact_number': '+1-953-548-1820'}","{'name': 'Lynn Mitchell', 'relationship': 'Parent', 'phone_number': '(493)980-6150'}",Spanish,"['Simon, Kirk and Thomas', 'Oliver Inc']",Yes
Michael Hobbs,uterry@example.net,2004-05-14,"1511 Robert Cliff
North Cynthiachester, VT 91945",(304)922-5220x74991,A,75b05ec2-b52a-4f79-adc2-5e12356e42c1,Biology,Art History,2006,1975,Non-binary,11.2,Mixed,Married,"['visualize extensible web-readiness', 'leverage back-end mindshare', 'generate scalable niches']",Full-time,Yes,Basketball,None,519-28-0284,Brandonhaven,German,"{'father_name': 'Kathleen Conley', 'mother_name': 'Colin Hendrix', 'contact_number': '(292)496-9181x5733'}","{'name': 'Bonnie Payne', 'relationship': 'Sibling', 'phone_number': '001-806-707-4458'}",English,"['Gonzales-Ballard', 'Boone LLC']",Yes
Scott Lloyd,rossmatthew@example.com,2005-09-28,"07169 Baxter Pine Suite 429
Chadmouth, LA 69606",759-483-3338x50326,D,56a02817-aaa0-4e30-8eba-276d977bb150,Physics,Economics,2010,1985,Non-binary,10.5,African American,Divorced,"['whiteboard dot-com ROI', 'evolve granular applications', 'envisioneer collaborative infrastructures']",Part-time,Yes,None,Completed Internship,133-04-4395,Lake Donald,British,"{'father_name': 'Wesley Rios', 'mother_name': 'Lydia Wright', 'contact_number': '738.740.5225x90049'}","{'name': 'Cindy Campbell', 'relationship': 'Parent', 'phone_number': '558.632.8054'}",Mandarin,"['Gallagher, Smith and Estrada', 'Blevins, Charles and Morrison']",Yes
Leslie Preston,steven13@example.net,2006-09-03,"009 Amanda Radial
Milesstad, KY 68353",913.966.9308x22328,A,5b9863f4-0ba4-4e21-97e8-e9cf3346de5e,Physics,Economics,2014,2011,Non-binary,8.6,Asian,Married,"['re-intermediate integrated infrastructures', 'innovate strategic eyeballs', 'synergize wireless users']",Full-time,No,Football,Currently Internship,180-36-1533,Port Andrewville,Canadian,"{'father_name': 'Kristina Smith', 'mother_name': 'Stacey Barber', 'contact_number': '(323)321-6357'}","{'name': 'Matthew Cooper', 'relationship': 'Other', 'phone_number': '519-936-7225x22782'}",German,"['Mcdaniel Ltd', 'Perez-Barrett']",No
William Ortiz,hodgeandrew@example.com,2003-04-12,"46932 Rebecca Green
Mercadoland, MI 80961",(593)632-1413,C,a85088de-3651-491b-8f85-5b9285900b7f,Computer Science,Philosophy,2016,2005,Female,9.2,Asian,Married,"['extend back-end supply-chains', 'optimize seamless partnerships', 'revolutionize vertical applications']",Part-time,Yes,Football,Currently Internship,097-14-6952,North Kelly,Australian,"{'father_name': 'Lance Hernandez', 'mother_name': 'Mr. Jacob White DVM', 'contact_number': '(558)485-1451x254'}","{'name': 'Jennifer Nelson', 'relationship': 'Parent', 'phone_number': '+1-319-940-6774'}",Mandarin,"['Miller-Morton', 'White-Peterson']",No
Tanya Marshall,nicolelee@example.org,2006-03-12,"969 Thomas Mountain Suite 955
Port Meganview, SC 99769",363-652-2966x0506,A,7400dd85-efc8-4c4e-bd77-a6887a267cad,Engineering,Philosophy,2004,2021,Non-binary,6.9,Other,Married,"['repurpose strategic communities', 'enable granular niches', 'iterate holistic bandwidth']",Part-time,No,Football,None,841-29-2616,East Stephenview,American,"{'father_name': 'Daniel Graham', 'mother_name': 'Lisa Webster', 'contact_number': '896.871.7181x727'}","{'name': 'Christopher Reyes', 'relationship': 'Parent', 'phone_number': '(826)269-5408x414'}",French,"['Bell, Hernandez and Vargas', 'Cunningham-Griffin']",Yes
Jessica Neal,munozmichael@example.com,2004-06-24,"20202 Brian Hollow
Lisaland, PR 63194",+1-581-853-9520x87956,D,bfd2d6bc-9fd9-44a8-be9c-432b5afd5aad,Chemistry,Philosophy,2018,1996,Male,3.7,Caucasian,Single,"['reinvent sticky schemas', 'incentivize e-business web services', 'deliver proactive relationships']",Part-time,Yes,None,Currently Internship,322-23-9320,South Angelaland,Australian,"{'father_name': 'Virginia Freeman', 'mother_name': 'Angela Lane', 'contact_number': '(297)394-1475x5783'}","{'name': 'Daniel White', 'relationship': 'Parent', 'phone_number': '001-404-364-2856x7111'}",French,"['Lee-Simpson', 'Miller, Hull and Little']",Yes
Sarah Stewart,cmoore@example.net,2002-06-27,"PSC 3293, Box 5736
APO AE 67039",243-862-1767,D,dd8167cc-7336-4ea1-8105-50c6782bc146,Mathematics,Economics,2010,1988,Male,7.7,Hispanic,Married,"['matrix bleeding-edge relationships', 'orchestrate turn-key relationships', 'empower dot-com technologies']",Full-time,Yes,None,Completed Internship,279-54-5443,Austinton,British,"{'father_name': 'Sara Jones', 'mother_name': 'Natasha Norman', 'contact_number': '299-866-0140x843'}","{'name': 'Terri Mckinney', 'relationship': 'Other', 'phone_number': '001-330-260-7347x0175'}",English,"['Doyle-Davis', 'Jones, Santos and Thomas']",Yes
